Modell, felszereltség;Teljesítmény (LE);Üzemanyag;Fogyasztás (l/100 km)
Audi A6 2.0 TDI ultra S tronic;190;dízel;5,4
Audi A6 Avant 2.0 TDI ultra S tronic;190;dízel;6,1
Audi A7 3.0 TDI ultra S tronic;218;dízel;6,7
BMW 216d Gran Tourer Advantage;116;dízel;5,4
BMW 316d Sport Line;116;dízel;5
BMW 320d Aut.;190;dízel;5,3
BMW 320d Efficient Dynamic Edition;163;dízel;4,6
BMW 520d Aut. Luxury Line;190;dízel;5,7
BMW 520d Touring Automatik Luxury Line;190;dízel;6,3
BMW 525d Aut. Sport Line;231;dízel;6,1
BMW 530e iPerformance Automatik;252;benzin+elektromos;6,3
BMW 640d Gran Coupé;313;dízel;7
BMW 650d xDrive;400;dízel;8,1
BMW 740d xDrive;320;dízel;8
Citroen C1 VTI 68 Feel;69;benzin;4,9
Citroën C4 Cactus BlueHDI 100 Stop&Start Shine Edition;99;dízel;4,6
Citroën Grand C4 Picasso BlueHDI 120 EAT6 Selection;120;dízel;5,5
Dacia Sandero dCi 90 S&S Laureate;90;dízel;5,2
Fiat 500C 1.3 Multijet 16V DPF Lounge;95;dízel;4,6
Ford B-Max 1.5 TDCI Titanium;95;dízel;5,2
Ford Fiesta 1.6 TDCi Titanium;95;dízel;4,6
Ford Grand C-Max 1.5 TDCI Start-Stop System Titanium;120;dízel;5,3
Honda Civic 1.6 i-DTEC Lifestyle;120;dízel;4,9
Honda HR-V 1.6 i-DTEC Elegance;120;dízel;5,2
Jaguar XE 20d Aut. Prestige;180;dízel;5,5
Kia Venga 1.6 CRDI 128 Spirit;128;dízel;5,5
Mazda 3 Skyactiv-D 150 Center-Line;150;dízel;4,9
Mazda 6 Kombi Skyactiv-D 150 i-ELOOP Exclusive Line;150;dízel;5,4
Mercedes A 180 CDI BlueEfficiency Edition Style;109;dízel;4,6
Mercedes B 180 d;109;dízel;5
Mercedes C 200 d 7G-Tronic Avantgarde;170;dízel;5,2
Mercedes C 250 BlueTEC 7G-Tronic Exclusive;204;dízel;5,5
Mercedes CLS Shooting Brake 350 d 9G-Tronic;258;dízel;7,1
Mercedes E 200 d 9G-Tronic Avantgarde;150;dízel;6,1
Mercedes E 220 d 9G-Tronic;194;dízel;5,5
Mercedes E 220 d T 9G-Tronic;194;dízel;6,3
Mercedes E 220 d T 9G-Tronic Avantgarde;194;dízel;6
Mercedes S 400 d 4Matic 9G-Tronic;340;dízel;7,7
Mercedes S 450 4Matic 9G-Tronic EQ Boost;367;benzin+elektromos;9
Mercedes S 500 e L 7G-Tronic;442;benzin+elektromos;8,6
Mercedes SL 400 9G-Tronic;367;benzin;9,4
Mini Cooper D;116;dízel;5,2
Mini Cooper D Countryman All4;112;dízel;5,3
Mini Countryman Cooper D All4;112;dízel;5,3
Mini Countryman One D;90;dízel;5,3
Mitsubishi Space Star 1.0;71;benzin;4,7
Mitsubishi Space Star 1.2 Clear Tec Shine+;80;benzin;4,3
Nissan Pulsar 1.5 dCi Tekna;110;dízel;4,8
Nissan Qashqai 1.5 dCi Tekna;110;dízel;5,3
Opel Astra 1.6 BiTurbo CDTI Start/Stop Innovation;160;dízel;4,9
Opel Astra 1.6 CDTI Start/Stop Innovation;136;dízel;4,8
Opel Meriva 1.6 CDTI ecoflex Start/Stop;136;dízel;5,1
Opel Mokka X 1.6 CDTI ecoFLEX;136;dízel;5,4
Peugeot 108 VTI 68 Active;69;benzin;4,6
Peugeot 208 82 VTI Active;82;benzin;5,2
Porsche Panamera 4S Diesel;422;dízel;8,4
Renault Captur Energy dCi 90 Start&Stop Experience;90;dízel;5,1
Renault Clio Grandtour Energy dCi 90 Start & Stop Luxe;90;dízel;4,3
Renault Scénic dci 110 Hybrid Assist Intense;110;dízel+elektromos;5,1
Renault Twingo Energy TCe 90 Intens;90;benzin;5,1
Seat Arona 1.6 TDI Xcellence;115;dízel;5,3
Seat Mii 1.0 Ecomotive Style;60;benzin;4,5
Škoda Citigo 1.0 MPI Green tec Active;60;benzin;4,4
Škoda Octavia Combi 2.0 TDI Green tec 4x4 Scout;150;dízel;5,4
Škoda Superb Combi 2.0 TDI L&K;150;dízel;5,4
Suzuki SX4 S-Cross 1.6 DDiS Allgrip Comfort+;120;dízel;5,2
Suzuki Vitara 1.6 DDiS Allgrip Comfort+;120;dízel;5,2
Toyota Aygo x-play touch;69;benzin;5
Toyota C-HR Hybrid Style;122;benzin+elektromos;5,4
Toyota Prius Comfort;122;benzin+elektromos;4,7
Toyota Prius Plug-in Hybrid Life;136;benzin+elektromos;3,7
Toyota Prius+;136;benzin+elektromos;5,4
Toyota Yaris Hybrid 1.5 VVT-i Comfort;100;benzin+elektromos;4,9
Volvo V40 D3 Momentum;150;dízel;4,7
VW Golf Sportsvan 2.0 TDI Bluemotion Technology Highline;150;dízel;5,4
VW Passat 2.0 TDI BlueMotion Technology Comfortline;150;dízel;5,1
VW Polo 1.2 TSI Bluemotion Technology DSG Fresh;90;benzin;5,2
VW Up Bluemotion Technology high up!;75;dízel;4,8
VW Up move up!;60;benzin;5,1
VW Up up! TSI Bluemotion Technology;90;benzin;5,2
